origem;cnpj;cnae_id;regiao;estado;media_consumo;total_consumo;mediana;desvio_pd;variancia;media_score;total_score;30/09/2021 00:00;31/10/2021 00:00;30/11/2021 00:00;31/12/2021 00:00;31/01/2022 00:00;28/02/2022 00:00
0;1035668000137.0;160.0;4;3;1793.0;10760.0;2197.0;1079.0;1165327.0;211.0;615.0;2861;2537;251;2823;1857;431
1;1108339000250.0;160.0;4;3;1117.0;6703.0;1.0;1579.0;2493933.0;141.0;426.0;3362;2;3339;0;0;0
0;1112783000168.0;160.0;4;3;1929.0;11577.0;2192.5;1169.0;1366789.0;236.0;728.0;3016;178;678;1796;2589;3320
1;1119541000287.0;160.0;4;3;541.0;3246.0;62.5;837.0;700984.0;37.0;175.0;2294;125;827;0;0;0
0;1141981000150.0;160.0;4;3;1826.0;10961.0;2028.5;1110.0;1232550.0;253.0;719.0;2433;32;951;1624;3423;2498
1;1152636000111.0;160.0;4;3;367.0;2203.0;108.5;449.0;201731.0;35.0;129.0;999;217;987;0;0;0
0;1157037000190.0;160.0;4;3;1234.0;7406.0;1394.5;628.0;394948.0;58.0;372.0;983;1498;1382;1407;2100;36
1;1181149000268.0;160.0;4;3;954.0;5728.0;86.5;1302.0;1696211.0;115.0;358.0;3083;2472;173;0;0;0
0;1182491000100.0;160.0;4;3;2291.0;13751.0;2385.0;834.0;696474.0;268.0;784.0;2705;3473;1087;2065;2951;1470
1;1201976000195.0;160.0;4;3;396.0;2381.0;88.0;503.0;253125.0;36.0;137.0;1074;176;1131;0;0;0
0;1238705000104.0;160.0;4;3;1650.0;9903.0;1786.0;804.0;647630.0;227.0;599.0;2263;2335;1309;2605;387;1004
1;1308487000137.0;160.0;4;3;1083.0;6500.0;602.5;1243.0;1545428.0;147.0;423.0;1998;1205;3297;0;0;0
0;1327391000116.0;160.0;4;3;1916.0;11500.0;1813.5;769.0;591687.0;163.0;652.0;1890;1737;2251;1470;3332;820
1;1393820000153.0;160.0;4;3;1150.0;6902.0;1023.0;1157.0;1340347.0;131.0;424.0;2377;2046;2479;0;0;0
0;1400326000179.0;160.0;4;3;1367.0;8206.0;1170.0;1140.0;1301138.0;221.0;529.0;156;150;1773;2605;2955;567
1;1419286000107.0;160.0;4;3;1138.0;6831.0;740.5;1266.0;1604219.0;144.0;434.0;1481;3345;2005;0;0;0
0;1422630000117.0;160.0;4;3;1782.0;10696.0;1722.0;1346.0;1813212.0;201.0;602.0;3375;2699;560;93;3224;745
1;1424868000181.0;160.0;4;3;163.0;980.0;30.0;256.0;65623.0;15.0;57.0;208;60;712;0;0;0
0;1430752000155.0;160.0;4;3;1541.0;9247.0;1490.0;1013.0;1026778.0;120.0;513.0;3066;902;369;2078;485;2347
1;1436462000208.0;160.0;4;3;453.0;2723.0;182.0;650.0;423522.0;28.0;144.0;523;364;1836;0;0;0
0;1441690000187.0;160.0;4;3;1291.0;7749.0;1132.0;986.0;973028.0;136.0;465.0;2701;55;1320;944;318;2411
1;1454492000158.0;160.0;4;3;931.0;5591.0;127.5;1312.0;1723825.0;137.0;374.0;1877;3459;255;0;0;0
0;1469075000189.0;160.0;4;3;1577.0;9463.0;1623.0;1207.0;1458706.0;240.0;642.0;2512;3325;942;43;337;2304
1;1488832000161.0;160.0;4;3;728.0;4370.0;340.0;1007.0;1015272.0;24.0;210.0;2846;680;844;0;0;0
0;1496442000133.0;160.0;4;3;2123.0;12743.0;2385.5;979.0;959031.0;333.0;811.0;2234;2537;2916;51;2078;2927
1;1498737000149.0;160.0;4;3;1115.0;6691.0;697.0;1202.0;1446204.0;231.0;482.0;1394;2360;2937;0;0;0
0;1503708000128.0;160.0;4;3;2054.0;12324.0;2663.5;1213.0;1472172.0;422.0;884.0;2;793;2451;3044;3158;2876
1;1517403000175.0;160.0;4;3;995.0;5972.0;580.5;1080.0;1167535.0;129.0;383.0;1161;2286;2525;0;0;0
0;1537618000158.0;160.0;4;3;2130.0;12781.0;2612.0;1220.0;1489248.0;238.0;781.0;3086;431;3419;565;2138;3142
1;1539334000109.0;160.0;4;3;1489.0;8938.0;1243.0;1510.0;2281403.0;229.0;564.0;3292;2486;3160;0;0;0
0;1580191000170.0;160.0;4;3;2162.0;12975.0;2579.5;905.0;819059.0;240.0;792.0;2921;1185;2241;2999;711;2918
1;1582613000147.0;160.0;4;3;1089.0;6539.0;219.5;1401.0;1963158.0;237.0;482.0;439;3282;2818;0;0;0
0;1601986000118.0;160.0;4;3;1338.0;8033.0;1621.5;726.0;528324.0;58.0;399.0;706;1581;53;1879;1662;2152
1;1609448000170.0;160.0;4;3;1165.0;6991.0;796.0;1222.0;1495038.0;134.0;431.0;2641;1592;2758;0;0;0
0;1611393000132.0;160.0;4;3;2149.0;12896.0;2263.0;521.0;271850.0;335.0;818.0;1767;2589;1973;1280;2734;2553
1;1615469000106.0;160.0;4;3;979.0;5877.0;806.0;994.0;989756.0;41.0;291.0;1612;2106;2159;0;0;0
0;1622004000174.0;160.0;4;3;1724.0;10344.0;1936.5;1256.0;1578322.0;336.0;724.0;41;1190;3099;2995;2683;336
1;1662456000180.0;160.0;4;3;842.0;5053.0;768.5;850.0;723746.0;41.0;256.0;1537;1593;1923;0;0;0
0;1693177000183.0;160.0;4;3;2569.0;15415.0;2505.5;662.0;438267.0;359.0;937.0;2138;1945;3484;2873;1742;3233
1;1697279000410.0;160.0;4;3;1125.0;6753.0;284.0;1421.0;2019402.0;130.0;417.0;2727;3458;568;0;0;0
0;1723925000123.0;160.0;4;3;1319.0;7915.0;1086.5;1084.0;1175215.0;137.0;474.0;492;555;1666;191;3393;1618
1;1772711000147.0;160.0;4;3;676.0;4061.0;391.0;800.0;641556.0;43.0;216.0;782;2192;1087;0;0;0
0;1790624000112.0;160.0;4;3;1105.0;6631.0;643.0;1104.0;1220994.0;128.0;410.0;702;584;3284;1714;36;311
1;1798682000192.0;160.0;4;3;658.0;3951.0;180.0;1002.0;1004303.0;1.0;169.0;2808;783;360;0;0;0
0;1807712000180.0;161.0;4;3;1319.0;7914.0;1183.0;779.0;608010.0;126.0;462.0;1543;2807;568;1569;604;823
1;1820648000177.0;161.0;4;3;564.0;3387.0;22.5;960.0;922832.0;10.0;154.0;2636;706;45;0;0;0
0;1821486000191.0;161.0;4;3;1726.0;10358.0;2146.0;1191.0;1420093.0;137.0;578.0;3102;2087;2;2741;221;2205
1;1842785000102.0;161.0;4;3;528.0;3169.0;276.5;646.0;417504.0;43.0;178.0;553;1783;833;0;0;0
0;1850525000189.0;161.0;4;3;2478.0;14870.0;2342.0;649.0;422062.0;434.0;991.0;1631;2367;3160;3477;2317;1918
1;1852696000147.0;161.0;4;2;1041.0;6246.0;415.5;1215.0;1477311.0;225.0;460.0;831;2623;2792;0;0;0
0;1856324000199.0;161.0;4;2;1885.0;11313.0;2310.5;1001.0;1003212.0;315.0;739.0;331;2796;2245;691;2874;2376
1;1871498000120.0;161.0;4;2;397.0;2386.0;145.5;479.0;230100.0;33.0;135.0;1206;291;889;0;0;0
0;1873907000128.0;161.0;4;2;1918.0;11510.0;2493.5;1371.0;1880922.0;246.0;678.0;2965;68;2154;3450;2833;40
1;1878572000130.0;161.0;4;2;1185.0;7114.0;729.0;1310.0;1717395.0;39.0;342.0;3384;1458;2272;0;0;0
0;1893491000100.0;161.0;4;2;1517.0;9105.0;1118.5;1047.0;1097475.0;215.0;602.0;323;1486;3167;751;743;2635
1;1903129000172.0;161.0;4;2;936.0;5616.0;52.5;1287.0;1656939.0;121.0;360.0;2784;2727;105;0;0;0
0;1914588000151.0;161.0;4;2;1432.0;8594.0;1291.0;730.0;533433.0;107.0;472.0;1631;951;671;2458;2247;636
1;1916867000154.0;161.0;4;2;921.0;5530.0;575.0;1025.0;1050663.0;37.0;272.0;2683;1697;1150;0;0;0
0;1933974000190.0;161.0;4;2;916.0;5501.0;909.0;193.0;37342.0;56.0;289.0;905;1068;829;913;583;1203
1;1947535000137.0;161.0;1;4;1037.0;6223.0;252.5;1341.0;1799716.0;3.0;233.0;3429;2289;505;0;0;0
0;1947643000100.0;161.0;1;4;1526.0;9157.0;1568.0;863.0;745074.0;74.0;413.0;2442;1336;543;2648;1800;388
1;1950937000190.0;161.0;1;4;457.0;2742.0;349.5;496.0;247007.0;-23.0;77.0;1304;699;739;0;0;0
0;1953981000154.0;161.0;1;4;2015.0;12095.0;1951.0;689.0;475351.0;128.0;575.0;2499;1075;2050;1852;1434;3185
1;1956942000100.0;162.0;1;4;575.0;3454.0;10.0;1249.0;1562173.0;99.0;227.0;20;3370;64;0;0;0
0;1957660000128.0;162.0;1;4;1587.0;9524.0;1618.5;519.0;269927.0;103.0;456.0;1846;2476;1733;1504;1022;943
1;1959899000137.0;162.0;1;4;776.0;4656.0;130.5;1179.0;1391615.0;105.0;277.0;261;1140;3255;0;0;0
0;1965280000135.0;162.0;1;4;1883.0;11298.0;1787.0;900.0;810369.0;182.0;600.0;1502;3399;717;1093;2072;2515
1;1966201000100.0;162.0;1;4;1053.0;6321.0;973.5;1057.0;1118187.0;25.0;258.0;1947;2111;2263;0;0;0
0;1970793000134.0;162.0;1;4;2124.0;12745.0;2152.5;947.0;897027.0;264.0;710.0;1094;1061;3101;2898;3184;1407
1;1982131000427.0;162.0;1;4;1126.0;6756.0;754.0;1209.0;1463116.0;101.0;351.0;1508;3037;2211;0;0;0
0;1989732000119.0;162.0;1;4;1539.0;9235.0;1311.0;1081.0;1168879.0;94.0;435.0;2394;96;751;3372;1551;1071
1;1990703000177.0;162.0;1;4;1462.0;8772.0;1312.0;1487.0;2213277.0;154.0;479.0;3474;2674;2624;0;0;0
0;1994317000153.0;162.0;1;4;1669.0;10015.0;1592.0;648.0;420448.0;127.0;497.0;1028;1795;2960;1718;1048;1466
1;1995094000149.0;162.0;1;4;821.0;4931.0;64.0;1176.0;1383073.0;92.0;274.0;1769;128;3034;0;0;0
0;1996280000100.0;162.0;1;4;1539.0;9239.0;1145.5;854.0;730524.0;160.0;502.0;1039;1233;1058;499;2644;2766
1;2056745000106.0;162.0;1;4;1035.0;6215.0;812.5;1091.0;1190628.0;97.0;327.0;1625;2746;1844;0;0;0
0;2057787000153.0;162.0;1;4;2207.0;13243.0;2184.5;526.0;277317.0;180.0;670.0;3144;2061;2467;1742;2308;1521
1;2059970000198.0;162.0;1;4;1104.0;6627.0;117.0;1483.0;2199600.0;83.0;328.0;3313;3080;234;0;0;0
0;2110082000403.0;162.0;1;4;1404.0;8429.0;1229.0;930.0;865617.0;21.0;333.0;3308;859;1390;330;1474;1068
1;2122909000148.0;162.0;1;4;1225.0;7351.0;751.0;1336.0;1785651.0;93.0;365.0;3348;1502;2501;0;0;0
0;2141918000186.0;162.0;1;4;1698.0;10191.0;1684.5;343.0;118149.0;57.0;434.0;1164;2222;1449;1987;1725;1644
1;2143746000180.0;162.0;1;4;664.0;3986.0;544.5;684.0;469098.0;11.0;158.0;1649;1089;1248;0;0;0
0;2180500000188.0;162.0;1;4;1339.0;8034.0;1365.0;864.0;746800.0;84.0;381.0;1408;1322;565;71;2714;1954
1;2180564000189.0;162.0;1;4;886.0;5318.0;643.0;961.0;924504.0;88.0;285.0;1527;1286;2505;0;0;0
0;2181937000136.0;162.0;1;4;1616.0;9698.0;1493.5;840.0;706284.0;163.0;522.0;998;466;1979;2653;2594;1008
1;2198654000105.0;162.0;1;4;385.0;2312.0;73.5;496.0;246505.0;7.0;92.0;1131;1034;147;0;0;0
0;2217689000136.0;162.0;1;4;1701.0;10210.0;1788.0;967.0;936650.0;108.0;486.0;2691;1305;2271;123;1021;2799
1;2218619000100.0;162.0;1;4;1225.0;7355.0;708.0;1348.0;1817319.0;87.0;359.0;3343;2596;1416;0;0;0
0;2249921000118.0;162.0;1;4;1605.0;9630.0;1546.5;782.0;611889.0;139.0;495.0;1852;712;1241;2356;714;2755
1;2253544000190.0;162.0;1;4;767.0;4604.0;84.0;1084.0;1176145.0;87.0;258.0;1617;2819;168;0;0;0
0;2253813004025.0;162.0;1;4;1584.0;9508.0;1369.0;819.0;671499.0;86.0;438.0;2784;1362;1376;379;1115;2492
1;2261417000133.0;162.0;1;4;740.0;4444.0;482.5;866.0;751131.0;11.0;175.0;2378;1101;965;0;0;0
0;2280269000102.0;162.0;1;4;2628.0;15771.0;2637.5;485.0;235820.0;339.0;891.0;2168;3306;2930;3033;1989;2345
1;2304155000147.0;162.0;1;4;698.0;4190.0;245.0;1051.0;1105361.0;82.0;237.0;738;490;2962;0;0;0
0;2334335000171.0;162.0;1;4;1581.0;9487.0;1369.0;1037.0;1076570.0;92.0;443.0;499;720;2063;3467;1947;791
1;2336664000151.0;162.0;1;4;851.0;5111.0;219.0;1128.0;1274172.0;107.0;296.0;438;1670;3003;0;0;0
0;2356096000150.0;162.0;1;4;1442.0;8652.0;1267.5;1070.0;1145669.0;101.0;421.0;1212;1323;543;1890;187;3497
1;2379340000109.0;162.0;1;4;912.0;5473.0;448.5;1041.0;1085568.0;22.0;224.0;2628;897;1948;0;0;0
0;2528358000117.0;162.0;1;4;2089.0;12536.0;2189.5;791.0;626691.0;259.0;723.0;1222;1068;1731;3156;2648;2711
1;2538454000146.0;162.0;1;4;590.0;3542.0;67.5;789.0;622988.0;18.0;149.0;1645;135;1762;0;0;0
0;2543156000144.0;162.0;1;4;1940.0;11640.0;2323.0;1254.0;1572681.0;271.0;702.0;381;192;1883;2763;3354;3067
1;2556564000130.0;162.0;1;4;958.0;5749.0;583.5;1030.0;1062639.0;85.0;298.0;2179;1167;2403;0;0;0
0;2569970000138.0;162.0;1;4;2480.0;14881.0;2654.5;632.0;400401.0;259.0;809.0;2963;2018;1389;2979;2346;3186
1;2618015000143.0;162.0;1;4;1019.0;6114.0;901.0;1030.0;1061360.0;25.0;251.0;2321;1991;1802;0;0;0
0;2620531000102.0;162.0;1;4;1264.0;7587.0;1169.5;956.0;914215.0;95.0;376.0;906;647;14;3089;1498;1433
1;2621417000105.0;162.0;1;4;498.0;2992.0;235.5;620.0;385275.0;-1.0;108.0;1710;811;471;0;0;0
0;2624571000122.0;162.0;1;4;2196.0;13181.0;1919.0;661.0;437029.0;204.0;692.0;1429;1941;3201;2996;1897;1717
1;2631203000101.0;162.0;1;4;767.0;4607.0;433.5;863.0;745998.0;22.0;192.0;2236;867;1504;0;0;0
0;2636438000196.0;162.0;1;4;1689.0;10139.0;1773.0;959.0;921009.0;135.0;510.0;253;2023;1523;962;2058;3320
1;2660029000125.0;162.0;1;4;752.0;4514.0;544.0;854.0;730209.0;83.0;250.0;1111;2315;1088;0;0;0
0;2696189000124.0;162.0;1;4;1625.0;9752.0;1111.5;1036.0;1073592.0;186.0;547.0;433;3112;1092;1131;2995;989
1;2701882000148.0;162.0;1;4;827.0;4963.0;303.5;993.0;986852.0;71.0;255.0;1886;2470;607;0;0;0
0;2713529001745.0;162.0;1;4;1985.0;11911.0;2051.0;740.0;548016.0;238.0;679.0;1454;2877;766;2357;1745;2712
1;2740041000140.0;162.0;1;4;1045.0;6273.0;211.0;1337.0;1789629.0;171.0;403.0;422;2948;2903;0;0;0
0;2745096000142.0;162.0;1;4;1252.0;7517.0;1425.5;586.0;344444.0;48.0;326.0;106;1917;1332;1656;987;1519
1;2757152000169.0;162.0;1;4;665.0;3992.0;418.0;817.0;667642.0;22.0;169.0;836;2279;877;0;0;0
0;2759882000107.0;162.0;1;4;2671.0;16031.0;2935.0;601.0;361247.0;351.0;912.0;1766;3119;3210;2751;3240;1945
1;2769607000166.0;162.0;1;4;1252.0;7516.0;1033.5;1272.0;1619701.0;89.0;367.0;2811;2638;2067;0;0;0
0;2770397000126.0;162.0;1;4;2295.0;13771.0;2055.5;448.0;201399.0;193.0;703.0;1898;2718;3089;2130;1955;1981
1;2784162000193.0;162.0;1;4;963.0;5779.0;576.0;1073.0;1151378.0;91.0;305.0;1843;1152;2784;0;0;0
0;2795151000109.0;162.0;1;4;1406.0;8438.0;1465.0;672.0;452087.0;91.0;404.0;1995;1616;2309;282;1314;922
1;2795895000123.0;162.0;1;4;999.0;5994.0;324.5;1266.0;1605051.0;0.0;221.0;3348;1997;649;0;0;0
0;2811060000110.0;162.0;1;4;1504.0;9026.0;1690.0;1122.0;1260317.0;232.0;548.0;0;2385;295;2846;2505;995
1;2811278000174.0;162.0;1;4;1313.0;7878.0;1072.5;1380.0;1904423.0;109.0;400.0;2145;3473;2260;0;0;0
0;2835156000118.0;162.0;1;4;1786.0;10718.0;1986.0;833.0;695451.0;34.0;431.0;2878;2282;1983;1989;209;1377
1;2840575000148.0;162.0;1;4;799.0;4795.0;268.0;1033.0;1068435.0;8.0;186.0;2795;536;1464;0;0;0
0;2892343000133.0;162.0;1;4;2305.0;13835.0;2246.5;425.0;181222.0;189.0;701.0;2206;2287;1623;2758;2896;2065
1;2916323000155.0;162.0;1;4;1111.0;6671.0;697.5;1254.0;1573520.0;15.0;262.0;3343;1933;1395;0;0;0
0;2928976000154.0;162.0;1;4;2394.0;14369.0;2499.0;776.0;603220.0;195.0;726.0;2901;1980;2097;3359;2987;1045
1;2950121000120.0;162.0;1;4;811.0;4868.0;532.0;933.0;871120.0;87.0;267.0;1064;2538;1266;0;0;0
0;2980855000151.0;162.0;1;4;2130.0;12783.0;2230.5;1001.0;1002110.0;183.0;656.0;3199;1779;3093;1732;298;2682
1;2986016000140.0;162.0;1;4;1169.0;7015.0;559.5;1323.0;1750425.0;97.0;357.0;2760;1119;3136;0;0;0
0;2988078000191.0;162.0;1;4;1389.0;8334.0;1423.5;950.0;902919.0;155.0;463.0;1506;24;2673;1341;423;2367
1;3011635000182.0;162.0;1;4;758.0;4550.0;573.0;835.0;698169.0;23.0;192.0;1146;1186;2218;0;0;0
0;3011811000186.0;162.0;1;4;1782.0;10693.0;1611.0;984.0;969945.0;98.0;493.0;3465;2376;1608;1614;221;1409
1;3013094000121.0;162.0;1;4;436.0;2621.0;200.5;630.0;397653.0;13.0;110.0;437;401;1783;0;0;0
0;3042779000104.0;162.0;1;4;1704.0;10228.0;1614.5;802.0;643370.0;163.0;541.0;1946;1161;2308;2981;549;1283
1;3075862000171.0;162.0;1;4;1061.0;6370.0;595.0;1256.0;1578436.0;22.0;257.0;3427;1190;1753;0;0;0
0;3076272000163.0;162.0;1;4;2256.0;13541.0;2032.0;892.0;795875.0;280.0;754.0;1092;1764;3468;2300;3360;1557
1;3084428000158.0;162.0;1;4;1072.0;6434.0;667.5;1195.0;1429232.0;22.0;260.0;3138;1335;1961;0;0;0
0;3091139000186.0;162.0;1;4;2345.0;14074.0;2246.5;799.0;639459.0;188.0;708.0;3498;1954;3113;2539;1133;1837
1;3098099000102.0;162.0;1;4;678.0;4072.0;470.5;785.0;617023.0;22.0;172.0;983;2148;941;0;0;0
0;3104468000114.0;162.0;1;4;2202.0;13214.0;2316.0;1020.0;1041187.0;184.0;673.0;2914;3281;1717;3165;1718;419
1;3105304000101.0;162.0;1;4;700.0;4202.0;215.5;1052.0;1106806.0;100.0;255.0;431;816;2955;0;0;0
0;3107780000161.0;162.0;1;4;2147.0;12882.0;2086.5;933.0;871457.0;261.0;712.0;1645;838;2528;3399;3112;1360
1;3115770000178.0;162.0;1;4;1160.0;6964.0;93.5;1577.0;2488260.0;98.0;355.0;3306;187;3471;0;0;0
0;3125807000149.0;162.0;1;4;2106.0;12640.0;1916.5;759.0;576214.0;204.0;672.0;1983;2640;3450;1069;1850;1648
1;3129286000106.0;162.0;1;4;911.0;5471.0;248.5;1167.0;1363326.0;83.0;285.0;1962;3012;497;0;0;0
0;3151115000256.0;162.0;1;4;1820.0;10921.0;2196.5;959.0;920383.0;86.0;490.0;2261;3160;2191;2202;696;411
1;3152229000130.0;162.0;1;4;904.0;5426.0;316.5;1083.0;1174960.0;100.0;301.0;633;2210;2583;0;0;0
0;3227581000510.0;162.0;1;4;1171.0;7029.0;727.0;977.0;956448.0;52.0;312.0;1996;730;724;154;479;2946
1;3247963000182.0;162.0;1;4;811.0;4868.0;234.5;1056.0;1115235.0;80.0;260.0;1589;469;2810;0;0;0
0;3259273000143.0;162.0;1;4;1484.0;8908.0;1583.5;752.0;566393.0;49.0;379.0;395;1026;2277;2141;850;2219
1;3265464000118.0;162.0;1;4;659.0;3958.0;163.0;887.0;787119.0;84.0;231.0;326;2378;1254;0;0;0
0;3273405000191.0;163.0;1;4;2383.0;14302.0;2445.0;820.0;673984.0;196.0;725.0;3066;3280;3223;1331;1824;1578
1;3283054000108.0;163.0;1;4;1145.0;6873.0;983.0;1161.0;1349557.0;95.0;349.0;2272;2635;1966;0;0;0
0;3291691000118.0;164.0;1;4;1830.0;10985.0;2040.5;1243.0;1546882.0;165.0;572.0;3378;570;1421;30;2926;2660
